Feature,Importance
slashpath,0.3297966230528896
Tamañospath,0.15567877704713767
puntosnetoloc,0.08692903823988199
Tamañosscheme,0.08179261344690358
Tamañonetoloc,0.07284730058940009
puntospath,0.07252464569104995
guionpath,0.06778492540959506
Tamañosquery,0.03535442849332601
guionbpath,0.030426383019494522
puntosquery,0.01590271173506209
guionnetoloc,0.015725609366612846
slashquery,0.006713333141379869
guionbquery,0.005729178144957675
guionquery,0.0050424647559180625
slashbpath,0.0035559299524838568
porcentajepath,0.003120839980885688
porcentajesquery,0.0027077185770674876
comillaspath,0.002081542861062964
comillasquery,0.002064169094261515
slashbquery,0.0013351697259578264
puntosscheme,0.0011778406589925765
Tamañosfragment,0.0004479330988637625
Tamañosparams,0.00020724114028853067
puntosfragment,0.000160603158444182
puntosparams,0.0001391450492789575
guionbfragment,0.0001361860990072697
guionbnetoloc,8.419289594880654e-05
dolarspath,7.912921681491923e-05
dolarquery,6.909911724826684e-05
slashfragment,6.319322650121134e-05
comilladpath,4.9127292263318424e-05
guionfragment,4.812081124715348e-05
guionparams,3.940448252358321e-05
guionsscheme,3.3060222936466405e-05
porcentajesfragment,2.9780799086332077e-05
slashbfragment,2.50922891046184e-05
guionbparams,2.319806772370695e-05
comillasfragment,2.0065913122793553e-05
almoadillasfragment,1.9002820356876202e-05
comilladquery,7.972794930186546e-06
comillasparams,6.255100708986832e-06
comilladfragment,4.743470589569421e-06
slashbparams,4.023049219258907e-06
dolarsparams,3.920353415917836e-06
porcentajeparams,3.529443266751164e-06
dolarfragment,2.506616638557765e-06
comilladparams,2.072650582683271e-06
porcentajenetoloc,1.5783556635495675e-07
slashscheme,0.0
almoadillasquery,0.0
guionbscheme,0.0
slashbscheme,0.0
porcentajescheme,0.0
comilladscheme,0.0
comillascheme,0.0
almoadillascheme,0.0
dolarsscheme,0.0
dolarsnetoloc,0.0
slashnetoloc,0.0
almoadillasparams,0.0
slashbnetoloc,0.0
slashparams,0.0
comilladnetoloc,0.0
almoadillaspath,0.0
comillasnetoloc,0.0
almoadillanetoloc,0.0
IsIP,0.0
